Name;Tracks;Scrobbles;Rank
"Lapa";"1";"1";"5617"
"Bronx River Parkway";"1";"1";"5618"
"Twinkie Clark";"1";"4";"2907"
"Ramsey & Co.";"1";"1";"5619"
"MAKENESS";"2";"2";"4191"
"BCUC";"8";"21";"694"
"Selena Gomez";"2";"4";"2908"
"Sebastian Mullaert";"32";"196";"35"
"Sam Weston";"1";"3";"3426"
"Dandara";"8";"20";"729"
"Thomash";"3";"6";"2252"
"Oktoberklubben";"2";"6";"2253"
"Willow";"2";"2";"4192"
"Aron Ottignon";"1";"3";"3427"
"Laurence Guy";"50";"162";"53"
"Dave DK";"4";"18";"819"
"Kornél Kovács";"12";"21";"695"
"Takuya Matsumoto";"1";"1";"5620"
"Wolf Müller & Niklas Wandt";"12";"59";"234"
"Pisces";"1";"3";"3428"
"McDowell";"1";"2";"4193"
"Harry Nilsson";"1";"3";"3429"
"Tom Zé";"2";"10";"1488"
"N. SIMONE";"1";"4";"2909"
"Satchmo";"1";"2";"4194"
"Roberto Musci";"5";"10";"1489"
"Mose Robert";"1";"1";"5621"
"Yazmin Lacey";"11";"27";"517"
"Wolf Müller";"44";"121";"79"
"Beatrice Dillon";"15";"26";"542"
"Blameful Isles";"4";"9";"1615"
"James Holden";"23";"80";"158"
"Bufiman";"20";"28";"502"
"Ströer Duo";"12";"37";"380"
"Dj Duke, Tribal Liberation";"1";"2";"4195"
"Nina Kraviz";"12";"18";"820"
"Moritz von Oswald";"9";"14";"1044"
"Ashley Henry";"34";"189";"37"
"Auk5";"1";"4";"2910"
"Frente Edits III";"10";"10";"1490"
"Moses Sumney";"24";"42";"331"
"Damien Jurado";"1";"5";"2524"
"Olaf Stuut";"2";"2";"4196"
"M.Roux";"1";"1";"5622"
"Nicolas Pera";"1";"6";"2254"
"Henrik Schwarz";"16";"42";"332"
"Kraut";"9";"14";"1045"
"Alexis Taylor";"24";"34";"410"
"Hiromi";"15";"22";"663"
"Luca Musto";"20";"30";"463"
"Andi Otto";"7";"25";"563"
"Jimmy Edgar";"1";"2";"4197"
"Paul Simon";"2";"7";"1988"
"Laraaji";"20";"41";"342"
"Oscar Jerome";"21";"71";"180"
"Henric Claes";"1";"1";"5623"
"Tash Sultana";"3";"6";"2255"
"Athlete Whippet";"1";"2";"4198"
"Honey Dijon";"3";"8";"1787"
"Why?";"9";"15";"987"
"Kapote";"3";"5";"2525"
"Roachford";"1";"3";"3430"
"Rone";"18";"21";"696"
"Agnes Obel";"3";"3";"3431"
"UJI";"12";"29";"480"
"Der Panther";"2";"2";"4199"
"Louis VI";"13";"29";"481"
"JD. Reid";"5";"5";"2526"
"Childish Gambino";"1";"1";"5624"
"Cool Maritime";"13";"135";"70"
"Public Service Broadcasting";"2";"2";"4200"
"Curses";"1";"1";"5625"
"Active Child";"1";"1";"5626"
"marcel vogel";"2";"3";"3432"
"Max Cooper";"38";"74";"172"
"Leonor";"3";"4";"2911"
"Teedra Moses";"1";"3";"3433"
"Carl Craig";"3";"5";"2527"
"Girls of the Internet";"22";"63";"213"
"Circle Sky";"1";"2";"4201"
"Lauhaus";"1";"5";"2528"
"Blindsmyth";"1";"7";"1989"
"Nick Hakim";"9";"20";"730"
"kaleema";"3";"15";"988"
"GuissGuissBouBess";"2";"2";"4202"
"Fresh Air from WHYY";"1";"1";"5627"
"The Sorcerers";"15";"36";"390"
"king garbage";"6";"12";"1239"
"Robert Glasper Experiment";"2";"4";"2912"
"Melo-Zed";"8";"10";"1491"
"Apiento & Co";"1";"4";"2913"
"Ariel Pink";"2";"3";"3434"
"Ashra";"3";"91";"135"
"Heerlens Percussie Ensemble";"1";"6";"2256"
"Massimo Luca";"1";"3";"3435"
"Barbatuques";"2";"11";"1350"
"Stijn Sadée";"3";"5";"2529"
"Ezra";"1";"4";"2914"
"808 State";"1";"1";"5628"
"Camp Inc.";"1";"2";"4203"
"Tom Trago";"1";"1";"5629"
"Young Marco";"10";"30";"464"
"Mariam the Believer";"17";"57";"248"
"Metamatics";"2";"3";"3436"
"Switchdance";"1";"1";"5630"
"Kutcorners";"1";"7";"1990"
"Art In Motion";"2";"2";"4204"
"Theo Croker";"9";"9";"1616"
"FKJ";"5";"11";"1351"
"Mytron & Ofofo";"17";"31";"447"
"Moonlight Benjamin";"1";"1";"5631"
"Retiree";"12";"50";"287"
"Corina Lawrence";"2";"15";"989"
"Daniel Bortz";"2";"3";"3437"
"Alfa Mist";"53";"157";"56"
"tokayo";"6";"11";"1352"
"Lorenzo Dada";"1";"3";"3438"
"Liv.e";"15";"32";"435"
"Baba Sissoko";"1";"1";"5632"
"The Yorkshire Film and Television Orchestra";"1";"1";"5633"
"Al Dobson Jr.";"19";"50";"288"
"Company Flow";"3";"3";"3439"
"LAPS";"1";"1";"5634"
"Jazzanova";"7";"16";"934"
"Dirty Doering";"1";"1";"5635"
"Fernando Milagros";"1";"1";"5636"
"Luca D'Alberto";"1";"3";"3440"
"Tuff City Kids";"1";"2";"4205"
"Neurostate";"1";"1";"5637"
"Parra for Cuva";"2";"11";"1353"
"Palace";"1";"2";"4206"
"Ammer";"1";"1";"5638"
"Nubiyan Twist";"26";"93";"131"
"Ian Simmonds";"3";"3";"3441"
"SMAGGHE & CROSS";"5";"11";"1354"
"Von Spar";"2";"2";"4207"
"Yougene";"1";"1";"5639"
"Kondi Band";"2";"5";"2530"
"San Miguel";"1";"1";"5640"
"Andy Jenkins";"2";"6";"2257"
"Stimming";"13";"16";"935"
"Ghost-Note";"10";"19";"773"
"Ocelote Rojo";"1";"2";"4208"
"Huaira";"5";"24";"588"
"BEATBALL MUSIC";"2";"3";"3442"
"Blood Wine or Honey";"10";"13";"1144"
"Matty";"9";"9";"1617"
"Wen";"7";"9";"1618"
"Spaceslug";"1";"1";"5641"
"Jun Kamoda";"2";"2";"4209"
"Sonnymoon";"2";"11";"1355"
"The Natural Yogurt Band";"8";"30";"465"
"Rodrigo Tavares";"1";"1";"5642"
"Kermesse";"12";"20";"731"
"Pouvoir Magique";"1";"1";"5643"
"Fela Kuti";"6";"11";"1356"
"Shlohmo";"16";"34";"411"
"Yussef Kamaal";"3";"4";"2915"
"Johnson, Hawkins, Tatum & Durr";"1";"2";"4210"
"Joni Mitchell";"2";"2";"4211"
"Erykah Badu";"1";"1";"5644"
"Mr Beatnick";"4";"7";"1991"
"Chemise";"2";"5";"2531"
"Nicolas Jaar";"34";"53";"267"
"Mammal Hands";"23";"56";"252"
"Gwilym Gold";"1";"1";"5645"
"King Gizzard & The Lizard Wizard";"8";"11";"1357"
"Percussions";"3";"3";"3443"
"Ponty Mython";"2";"3";"3444"
"Mitski";"32";"99";"114"
"Fantasma";"1";"1";"5646"
"Pilgrims of the Mind";"2";"7";"1992"
"Sivan Perwer";"1";"1";"5647"
"Athena";"1";"1";"5648"
"Doctr";"2";"2";"4212"
"Loidis";"4";"25";"564"
"디구루(dguru)";"1";"2";"4213"
"서울 콤보 (feat. 하세가와 요오헤이, 차승우)";"1";"1";"5649"
"원피스(1Piece)";"1";"2";"4214"
"Ballaké Sissoko & Vincent Segal";"7";"7";"1993"
"Attwenger";"2";"3";"3445"
"Playboi Carti";"1";"1";"5650"
"Conjunto Costumbrista";"1";"1";"5651"
"David Bowie";"18";"19";"774"
"Queen";"3";"4";"2916"
"God Colony";"1";"7";"1994"
"Academy Garden";"4";"4";"2917"
"David Dor";"1";"1";"5652"
"AHARON AMRAM";"1";"1";"5653"
"Bruxas";"3";"4";"2918"
"Hatis Noit";"3";"3";"3446"
"Qasim Naqvi";"1";"1";"5654"
"A Winged Victory for the Sullen";"8";"30";"466"
"Daniel Thorne";"1";"1";"5655"
"Daniel Brandt";"2";"9";"1619"
"Luca Musto & Loewenthal";"1";"1";"5656"
"MixMag";"3";"4";"2919"
"machaka";"4";"7";"1995"
"Douglas Dare";"11";"36";"391"
"Keith Jarrett";"19";"60";"229"
"Black Flower";"6";"10";"1492"
"Z Lovecraft";"2";"4";"2920"
"Islandman";"55";"323";"11"
"KH015";"1";"1";"5657"
"RED BULL MUSIC ACADEMY";"1";"1";"5658"
"GodWonder";"1";"1";"5659"
"Jess Sah Bi & Peter One";"8";"27";"518"
