Artist;Album;AlbumId;Track;Date#fadgad
"Earthboogie";"Human Call";"01c07e60-34c3-41c9-908b-d4f9b2cf071c";"Human Call";"1533409572000"
"Earthboogie";"Human Call";"01c07e60-34c3-41c9-908b-d4f9b2cf071c";"High Minded Man";"1533410161000"
"Wilfred Percussion";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"Andei";"1533410586000"
"Om Buschman";"Tropical Drums of Deutschland";"525f7f42-f775-4951-bb57-2e0b7005b327";"Hey Tata Gorem";"1533410769000"
"Mike Fabulous";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"Wang East - Instrumental";"1533411204000"
"Earthboogie";"Human Call";"01c07e60-34c3-41c9-908b-d4f9b2cf071c";"Broken Rules Arrangement";"1533411448000"
"Maajo";"Tropic Of Tulli";"9997b2a2-d91c-4313-8b9a-5c6ffb06e392";"Darkness is Good";"1533411924000"
"Earthboogie";"Human Call";"01c07e60-34c3-41c9-908b-d4f9b2cf071c";"Northern Light";"1533412429000"
"Earthboogie";"Human Call";"01c07e60-34c3-41c9-908b-d4f9b2cf071c";"Stargazin' (feat. Nina Miranda)";"1533412652000"
"Bob Moses";"Tropical Drums of Deutschland";"525f7f42-f775-4951-bb57-2e0b7005b327";"Boat Song, Pt. 2";"1533412989000"
"Maajo";"Tropic Of Tulli";"9997b2a2-d91c-4313-8b9a-5c6ffb06e392";"Musa Paradisa";"1533413200000"
"Maajo";"Tropic Of Tulli";"9997b2a2-d91c-4313-8b9a-5c6ffb06e392";"Fode";"1533413485000"
"Maajo";"Tropic Of Tulli";"9997b2a2-d91c-4313-8b9a-5c6ffb06e392";"Kaba";"1533413794000"
"Maajo";"Tropic Of Tulli";"9997b2a2-d91c-4313-8b9a-5c6ffb06e392";"Makkara";"1533413951000"
"Maajo";"Tropic Of Tulli";"9997b2a2-d91c-4313-8b9a-5c6ffb06e392";"Kofi Obu";"1533414243000"
"Maajo";"Tropic Of Tulli";"9997b2a2-d91c-4313-8b9a-5c6ffb06e392";"Tum’pi";"1533414667000"
"Cosmos Universal Band";"Extra Added Soul: Crossover, Modern, and Funky Soul";"";"Third Eye";"1533419071000"
"Los Hermanos";"Submerge Vol.2:Detroit House";"";"Birth Of 3000";"1533419275000"
"Daniel Avery";"Slow Fade Remixes";"";"Slow Fade - Actress Remix";"1533419714000"
"Martyn";"Voids";"62222164-60c4-4dc6-8bc3-1f99e8c90007";"Voids One";"1533422394000"
"Martyn";"Voids";"62222164-60c4-4dc6-8bc3-1f99e8c90007";"Manchester";"1533422493000"
"Martyn";"Voids";"62222164-60c4-4dc6-8bc3-1f99e8c90007";"Nya";"1533422869000"
"Martyn";"Voids";"62222164-60c4-4dc6-8bc3-1f99e8c90007";"Why";"1533423216000"
"Martyn";"Voids";"62222164-60c4-4dc6-8bc3-1f99e8c90007";"Try To Love You";"1533423587000"
"Martyn";"Voids";"62222164-60c4-4dc6-8bc3-1f99e8c90007";"Try To Love You";"1533459435000"
"Tutu Atrash";"Jaja Nights";"";"Gadgult";"1533459489000"
"Tutu Atrash";"Jaja Nights";"";"Jaja Nights";"1533459588000"
"Tutu Atrash";"Jaja Nights";"";"Jahela";"1533459791000"
"Tutu Atrash";"Jaja Nights";"";"Ya mahajah";"1533459981000"
"Tutu Atrash";"Jaja Nights";"";"Kulu fajer";"1533460274000"
"Tutu Atrash";"Jaja Nights";"";"Mageba";"1533460489000"
"Piry Reis";"Outro Tempo";"";"O Sol na Janela";"1533460749000"
"Nando Carneiro";"Outro Tempo";"";"G.R.E.S. Luxo Artesanal / O Camponês";"1533461059000"
"Cinema";"Outro Tempo";"";"Sem Teto";"1533461433000"
"Os Mulheres Negras";"Outro Tempo";"";"Só Quero Um Xodó";"1533461614000"
"Fernando Falcão";"Outro Tempo";"";"Amanhecer tabajara (à Alceu Valença)";"1533461832000"
"Anno Luz";"Outro Tempo";"";"Por Quê";"1533462080000"
"Andréa Daltro";"Outro Tempo";"";"kiuá";"1533462374000"
"Os Mulheres Negras";"Outro Tempo";"";"Mãoscoloridas";"1533462726000"
"Bené Fonteles";"Outro Tempo";"";"O M M";"1533462958000"
"Carlinhos Santos";"Outro Tempo";"";"Giramundo";"1533463162000"
"Ezy & Isaac";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"Let Your Body Move (Oba Balu Balu)";"1533463592000"
"Carioca";"Outro Tempo";"";"Branca";"1533463839000"
"Maria Rita";"Outro Tempo";"";"Cântico Brasileiro No. 3 (Kamaiurá)";"1533464137000"
"Kosmik 3";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"I’m Gonna Pack - Jeremy Spellacey Edit";"1533464389000"
"Mike Fabulous";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"Wang East - Instrumental";"1533464639000"
"Feladey";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"Forest Music (Anambra Na-Imo)";"1533464882000"
"Wendo";"";"";"This Must Be illegal";"1533492869000"
"Wolf Müller";"";"";"I'm a Cliche Edit Service 23 - by Jan Schulte";"1533493173000"
"Wolf Müller";"";"";"Africane808 - Cobijas (Jan Schulte Rework)";"1533493562000"
"Wolf Müller";"Non, Nº.2";"";"It's Really You (Jan Schulte Edit)";"1533493811000"
"Young Marco";"";"";"Edit Service 10";"1533494138000"
"Fernando Falcão";"Memória das Águas";"568fd3be-3592-4993-ab58-0dbae38791d8";"Curimão (Sons Onomatopaicos e Folk da Guiné)";"1533494542000"
"kurup";"";"";"joeira";"1533494844000"
"Larry Maluma";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"Kamusale";"1533495388000"
"Kosmik 3";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"I’m Gonna Pack - Jeremy Spellacey Edit";"1533495402000"
"Mike Fabulous";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"Wang East - Instrumental";"1533495650000"
"Feladey";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"Forest Music (Anambra Na-Imo)";"1533495893000"
"Larry Maluma";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"Kamusale";"1533496245000"
"Acayouman";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"Funk Around";"1533496498000"
"J.K. Mandengué";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"Afrika";"1533496879000"
"The Staple Singers";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"Slippery People - Club version";"1533497083000"
"Brother Resistance";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"Can I Get A Witness";"1533497474000"
