Name;Tracks;Scrobbles;Rank;Region
Tash Sultana;3;6;2281;
Athlete Whippet;1;2;4232;
Honey Dijon;3;8;1808;
Why?;9;15;1010;
Kapote;3;5;2556;
Roachford;1;3;3471;
Rone;20;23;640;
Agnes Obel;3;3;3472;
UJI;12;29;491;
Der Panther;2;2;4233;
Louis VI;13;29;492;
JD. Reid;5;5;2557;
Childish Gambino;1;1;5674;
Cool Maritime;13;136;70;🇺🇸 US
Public Service Broadcasting;2;2;4234;
Curses;1;1;5675;
Active Child;1;1;5676;
marcel vogel;2;3;3473;
Max Cooper;38;74;177;
Leonor;3;4;2941;
Teedra Moses;1;3;3474;
Carl Craig;3;5;2558;
Girls of the Internet;22;63;219;
Circle Sky;1;2;4235;
Lauhaus;1;5;2559;
Blindsmyth;1;7;2014;
Nick Hakim;10;21;713;
kaleema;3;15;1011;
GuissGuissBouBess;2;2;4236;
Fresh Air from WHYY;1;1;5677;
The Sorcerers;15;36;399;
king garbage;6;12;1260;
Robert Glasper Experiment;2;4;2942;
Melo-Zed;8;10;1514;
Apiento & Co;1;4;2943;
Ariel Pink;2;3;3475;
Ashra;3;91;140;
Heerlens Percussie Ensemble;1;6;2282;
Massimo Luca;1;3;3476;
Barbatuques;2;11;1370;
Stijn Sadée;3;5;2560;
Ezra;1;4;2944;
808 State;1;1;5678;
Camp Inc.;1;2;4237;
Tom Trago;1;1;5679;
Young Marco;10;30;474;
Mariam the Believer;17;57;253;
Metamatics;2;3;3477;
Switchdance;1;1;5680;
Kutcorners;1;7;2015;
Art In Motion;2;2;4238;
Theo Croker;9;9;1639;
FKJ;5;11;1371;
Mytron & Ofofo;17;31;457;
Moonlight Benjamin;1;1;5681;
Retiree;12;50;292;
Corina Lawrence;2;15;1012;
Daniel Bortz;2;3;3478;
Alfa Mist;53;157;57;🇬🇧 GB
tokayo;6;11;1372;
Lorenzo Dada;1;3;3479;
Liv.e;15;32;447;
Baba Sissoko;1;1;5682;
The Yorkshire Film and Television Orchestra;1;1;5683;
Al Dobson Jr.;19;50;293;
Company Flow;3;3;3480;
LAPS;1;1;5684;
Jazzanova;7;16;953;
Dirty Doering;1;1;5685;
Fernando Milagros;1;1;5686;
Luca D'Alberto;1;3;3481;
Tuff City Kids;1;2;4239;
Neurostate;1;1;5687;
Parra for Cuva;2;11;1373;
Palace;1;2;4240;
Ammer;1;1;5688;
Nubiyan Twist;26;120;86;🇬🇧 GB
Ian Simmonds;3;3;3482;
SMAGGHE & CROSS;5;11;1374;
Von Spar;2;2;4241;
Yougene;1;1;5689;
Kondi Band;2;5;2561;
San Miguel;1;1;5690;
Andy Jenkins;2;6;2283;
Stimming;13;16;954;
Ghost-Note;10;19;790;
Ocelote Rojo;1;2;4242;
Huaira;5;24;605;
BEATBALL MUSIC;2;3;3483;
Blood Wine or Honey;10;13;1168;
Matty;9;9;1640;
Wen;7;9;1641;
Spaceslug;1;1;5691;
Jun Kamoda;2;2;4243;
Sonnymoon;2;11;1375;
The Natural Yogurt Band;8;30;475;
Rodrigo Tavares;1;1;5692;
Kermesse;12;20;747;
Pouvoir Magique;1;1;5693;
Fela Kuti;6;11;1376;
Shlohmo;16;34;419;
Yussef Kamaal;3;4;2945;
Johnson, Hawkins, Tatum & Durr;1;2;4244;
Joni Mitchell;2;2;4245;
Erykah Badu;1;1;5694;
Mr Beatnick;4;7;2016;
Chemise;2;5;2562;
Nicolas Jaar;34;53;273;
Mammal Hands;23;56;258;
Gwilym Gold;1;1;5695;
King Gizzard & The Lizard Wizard;8;11;1377;
Percussions;3;3;3484;
Ponty Mython;2;3;3485;
Mitski;34;111;100;🇺🇸 US
Fantasma;1;1;5696;
Pilgrims of the Mind;2;7;2017;
Sivan Perwer;1;1;5697;
Athena;1;1;5698;
Doctr;2;2;4246;
Loidis;4;25;580;
디구루(dguru);1;2;4247;
서울 콤보 (feat. 하세가와 요오헤이, 차승우);1;1;5699;
원피스(1Piece);1;2;4248;
Ballaké Sissoko & Vincent Segal;7;7;2018;
Attwenger;2;3;3486;
Playboi Carti;1;1;5700;
Conjunto Costumbrista;1;1;5701;
David Bowie;29;38;381;
Queen;3;4;2946;
God Colony;1;7;2019;
Academy Garden;4;4;2947;
David Dor;1;1;5702;
AHARON AMRAM;1;1;5703;
Bruxas;3;4;2948;
Hatis Noit;3;3;3487;
Qasim Naqvi;1;1;5704;
A Winged Victory for the Sullen;8;30;476;
Daniel Thorne;1;1;5705;
Daniel Brandt;2;9;1642;
Luca Musto & Loewenthal;1;1;5706;
MixMag;3;4;2949;
machaka;4;7;2020;
Douglas Dare;11;36;400;
Keith Jarrett;19;60;233;
Black Flower;6;10;1515;
Z Lovecraft;2;4;2950;
Islandman;55;323;13;
KH015;1;1;5707;
RED BULL MUSIC ACADEMY;1;1;5708;
GodWonder;1;1;5709;
