Artist;Name;Scrobbles;Rank
"Black Classical";"Versus";"7";"2170"
"Mecca:83";"Loosies";"1";"8187"
"Emanative";"Drum Suite";"3";"4446"
"Hello Skinny";"Drum Suite";"5";"2961"
"Resonators";"The Constant: Deluxe Edition";"1";"8188"
"Sarathy Korwar";"Day to Day";"15";"923"
"Crazy P";"When We On";"3";"4447"
"Yazz Ahmed";"La Saboteuse";"14";"1012"
"Julia Biel";"Love Letters and Other Missiles";"1";"8189"
"Blue States";"Restless Spheres";"3";"4448"
"Plantrae";"Seeing in the Dark";"1";"8190"
"Black Classical";"Trochilidæ";"37";"287"
"Elsa Hewitt";"Cameras From Mars";"1";"8191"
"Sly5thAve";"Still D.R.E. (Edit)";"2";"5750"
"Kerem Akdağ";"Loungin'";"8";"1909"
"Imarhan";"Ehad wa dagh";"1";"8192"
"Khruangbin";"Con Todo El Mundo";"26";"429"
"Mala";"Changes (James Blake Harmonimix)";"1";"8193"
"Randy Weston";"Uhuru Africa / Highlife";"1";"8194"
"Golden Teacher";"No Luscious Life";"18";"728"
"Emanative";"Time";"15";"924"
"Collocutor";"Over E.P.";"1";"8195"
"Emanative & Earl Zinger & RN9";"Over E.P.";"1";"8196"
"Kodäma";"Palo Santo EP";"7";"2171"
"Slowdive";"Sugar for the Pill (Avalon Emerson's Gilded Escalation)";"1";"8197"
"Larry de Kat";"Five Point After Dark";"2";"5751"
"Ninze";"Tal der Verwirrung EP";"1";"8198"
"ÌFÉ";"House of Love (Nicola Cruz Remix)";"11";"1361"
"Etherwood";"In Stillness";"1";"8199"
"Hector Plimmer";"Sunshine";"25";"450"
"Hector Plimmer";"Our Space Secrets";"3";"4449"
"Hector Plimmer";"Bossa B (Remixes)";"1";"8200"
"Afriquoi";"Starship / Can I Know You";"1";"8201"
"Paper Tiger";"Ooh (Remixes) (feat. Pyramid Vritra)";"1";"8202"
"STAC";"Allo Love: Volume Six";"1";"8203"
"Hector Plimmer";"Allo Love: Volume Six";"1";"8204"
"Suplington";"Tokyo Reflections Remixed";"1";"8205"
"Honny & The Bees Band";"Bottletop Presents Sound Affects Malmaison";"6";"2511"
"Gorillaz";"Andromeda (feat. D.R.A.M.) [Bonobo Remix]";"3";"4450"
