Name;Tracks;Scrobbles;Rank
"Roman Flügel";"9";"19";"764"
"Jordan Rakei";"11";"22";"654"
"Flo Morrissey and Matthew E. White";"4";"6";"2235"
"Bené Fonteles";"1";"2";"4175"
"Carlinhos Santos";"1";"2";"4176"
"Priscilla Ermel";"2";"4";"2885"
"Carioca";"1";"2";"4177"
"Marco Bosco";"2";"5";"2502"
"Maria Rita";"1";"6";"2236"
"Luli e Lucina";"1";"1";"5604"
"Gonzales";"37";"228";"25"
"Lapa";"1";"1";"5605"
"Bronx River Parkway";"1";"1";"5606"
"Twinkie Clark";"1";"4";"2886"
"Ramsey & Co.";"1";"1";"5607"
"MAKENESS";"2";"2";"4178"
"BCUC";"6";"19";"765"
"Selena Gomez";"2";"4";"2887"
"Sebastian Mullaert";"32";"189";"36"
"Sam Weston";"1";"3";"3407"
"Dandara";"8";"20";"724"
"Thomash";"3";"6";"2237"
"Oktoberklubben";"2";"6";"2238"
"Willow";"2";"2";"4179"
"Aron Ottignon";"1";"3";"3408"
"Laurence Guy";"50";"161";"53"
"Dave DK";"4";"18";"812"
"Kornél Kovács";"12";"21";"685"
"Takuya Matsumoto";"1";"1";"5608"
"Wolf Müller & Niklas Wandt";"12";"59";"228"
"Pisces";"1";"3";"3409"
"McDowell";"1";"2";"4180"
"Harry Nilsson";"1";"3";"3410"
"Tom Zé";"2";"10";"1481"
"N. SIMONE";"1";"4";"2888"
"Satchmo";"1";"2";"4181"
"Roberto Musci";"5";"10";"1482"
"Mose Robert";"1";"1";"5609"
"Yazmin Lacey";"11";"27";"512"
"Wolf Müller";"44";"121";"79"
"Beatrice Dillon";"15";"26";"536"
"Blameful Isles";"4";"9";"1607"
"James Holden";"23";"80";"157"
"Bufiman";"20";"28";"498"
"Ströer Duo";"12";"37";"377"
"Dj Duke, Tribal Liberation";"1";"2";"4182"
"Nina Kraviz";"12";"18";"813"
"Moritz von Oswald";"9";"14";"1037"
"Ashley Henry";"34";"189";"37"
"Auk5";"1";"4";"2889"
"Frente Edits III";"10";"10";"1483"
"Moses Sumney";"24";"42";"328"
"Damien Jurado";"1";"5";"2503"
"Olaf Stuut";"2";"2";"4183"
"M.Roux";"1";"1";"5610"
"Nicolas Pera";"1";"6";"2239"
"Henrik Schwarz";"16";"42";"329"
"Kraut";"9";"14";"1038"
"Alexis Taylor";"24";"34";"409"
"Hiromi";"15";"22";"655"
"Luca Musto";"20";"30";"459"
"Andi Otto";"7";"25";"557"
"Jimmy Edgar";"1";"2";"4184"
"Paul Simon";"2";"7";"1972"
"Laraaji";"20";"41";"339"
"Oscar Jerome";"20";"69";"191"
"Henric Claes";"1";"1";"5611"
"Tash Sultana";"3";"6";"2240"
"Athlete Whippet";"1";"2";"4185"
"Honey Dijon";"3";"8";"1772"
"Why?";"9";"15";"981"
"Kapote";"3";"5";"2504"
"Roachford";"1";"3";"3411"
"Rone";"18";"21";"686"
"Agnes Obel";"3";"3";"3412"
"UJI";"12";"29";"476"
"Der Panther";"2";"2";"4186"
"Louis VI";"13";"29";"477"
"JD. Reid";"5";"5";"2505"
"Childish Gambino";"1";"1";"5612"
"Cool Maritime";"13";"133";"71"
"Public Service Broadcasting";"2";"2";"4187"
"Curses";"1";"1";"5613"
"Active Child";"1";"1";"5614"
"marcel vogel";"2";"3";"3413"
